Date,Description,Amount,Category,Bank
01/05/2026,SALARY BACS,3200.00,Income,Monzo
01/05/2026,TESCO STORES 2981,-54.32,Groceries,Monzo
02/05/2026,TFL TRAVEL CHARGE,-7.20,Transport,Monzo
03/05/2026,NETFLIX.COM,-9.99,Subscriptions,Chase
03/05/2026,DELIVEROO,-23.40,Dining Out,Starling
05/05/2026,ALDI STORES,-31.18,Groceries,Chase
05/05/2026,COSTA COFFEE,-4.65,Dining Out,Monzo
06/05/2026,SPOTIFY,-10.99,Subscriptions,Chase
06/05/2026,BP FUEL STATION,-48.00,Transport,Starling
07/05/2026,AMAZON.CO.UK,-67.49,Shopping,Chase
08/05/2026,SAINSBURY'S,-42.71,Groceries,Monzo
08/05/2026,NANDOS,-28.50,Dining Out,Starling
09/05/2026,PAYPAL TRANSFER,-15.00,,Monzo
10/05/2026,BRITISH GAS,-78.40,Bills,Chase
12/05/2026,TESCO STORES 2981,-38.90,Groceries,Monzo
13/05/2026,UBER EATS,-19.75,Dining Out,Starling
14/05/2026,TFL TRAVEL CHARGE,-9.10,Transport,Monzo
15/05/2026,ASOS.COM,-54.99,Shopping,Chase
17/05/2026,PRET A MANGER,-6.85,Dining Out,Monzo
18/05/2026,EE MOBILE,-32.00,Bills,Chase
19/05/2026,AMAZON PRIME,-8.99,Subscriptions,Chase
20/05/2026,JOHN LEWIS,-112.30,Shopping,Monzo
21/05/2026,CASH WITHDRAWAL,-50.00,,Starling
22/05/2026,TESCO STORES 2981,-46.15,Groceries,Monzo
26/05/2026,COUNCIL TAX,-145.00,Bills,Chase
28/05/2026,COSTA COFFEE,-5.40,Dining Out,Monzo
30/05/2026,SAINSBURY'S,-61.27,Groceries,Starling
31/05/2026,UNKNOWN MERCHANT,-22.00,,Monzo
01/06/2026,SALARY BACS,3200.00,Income,Monzo
01/06/2026,TESCO STORES 2981,-49.88,Groceries,Monzo
02/06/2026,NETFLIX.COM,-9.99,Subscriptions,Chase
02/06/2026,DELIVEROO,-26.10,Dining Out,Starling
04/06/2026,ALDI STORES,-29.55,Groceries,Chase
05/06/2026,SPOTIFY,-10.99,Subscriptions,Chase
07/06/2026,AMAZON.CO.UK,-88.20,Shopping,Chase
08/06/2026,NANDOS,-34.75,Dining Out,Monzo
09/06/2026,BRITISH GAS,-81.10,Bills,Chase
10/06/2026,SAINSBURY'S,-57.40,Groceries,Monzo
12/06/2026,BP FUEL STATION,-45.75,Transport,Chase
14/06/2026,REFUND - ASOS.COM,18.50,Income,Chase
15/06/2026,TESCO STORES 2981,-41.62,Groceries,Monzo
17/06/2026,THAMES WATER,-31.20,Bills,Chase
19/06/2026,PAYPAL TRANSFER,-40.00,,Monzo
20/06/2026,EE MOBILE,-32.00,Bills,Chase
21/06/2026,JOHN LEWIS,-76.40,Shopping,Monzo
23/06/2026,TFL TRAVEL CHARGE,-8.50,Transport,Monzo
25/06/2026,COUNCIL TAX,-145.00,Bills,Chase
28/06/2026,TESCO STORES 2981,-58.73,Groceries,Monzo
30/06/2026,CASH WITHDRAWAL,-30.00,,Monzo
